,Motif Name,p-value,# Target Sequences,% of Target Sequences,# Background Sequences,% of Background Sequences,Motif Documentation
0,MA2044.1,1.7645764940649888e-21,2210,715.210355987055%,2515,813.915857605178%,http://jaspar.genereg.net/matrix/MA2044.1
1,MA1701.1,1.70939453791143e-17,1723,557.6051779935275%,2044,661.4886731391585%,http://jaspar.genereg.net/matrix/MA1701.1
2,MA0720.1,3.1416041648185497e-17,2045,661.8122977346278%,2338,756.6343042071197%,http://jaspar.genereg.net/matrix/MA0720.1
3,MA0640.2,8.575334568336523e-17,1929,624.2718446601941%,2229,721.3592233009708%,http://jaspar.genereg.net/matrix/MA0640.2
4,MA2031.1,1.9441820589508087e-16,1887,610.6796116504854%,2187,707.7669902912621%,http://jaspar.genereg.net/matrix/MA2031.1
